species,kg
DDA,2.663335
ELE,4630
ORY,56.1752
GOR,126.21549499999999
CHP,44.9835
CNB,9.05841
MJG,7
MGA,7.775
MAN,23
TAL,1.3625
CDB,5.701
CPO,3.137
HOC,5.465
MST,3.39994
PTT,1.011
PTG,0.716345
ATH,2.8756500000000003
HER,3.75085
RAT,1.4
ECU,0.6304299999999999
RTL,10
LOU,21.41111
NAN,2.1672
PAN,53.074995
CDO,10.65
CIV,13.66667
GEN,1.17584
MNG,3.3
MPN,2.311505
PLQ,2.08999
PCM,1.53931
PGE,32.999849999999995
POT,71
HYL,200.31523499999997
BUF,646.33299
CHV,11.55
GHA,43.250389999999996
SIT,87.5
BON,270.99837
CBL,4.89605
CVB,12.954345
CFN,13.9
COG,19.19321
CPE,19.07923
CDJ,62.0066
CBA,11.6
CMN,19.07923
VAR,2.82667
TOR,1.202
FGA,50.5
CRN,18.8
PYT,73
VIP,2.381
MBR,6.957
CAL,1.2035
PIN,0.875
TUR,1
PER,0.333
PIG,0.1985
EPE,0.6375
AIG,3.64375
AMA,5.465
ARE,19.31
AOI,0.47175
