species,english,french,kota,fang,scientific,use_name,name_note,protection_phase2,protection_phase3,IUCN
DDA,Tree hyrax,Daman d'arbre,Poyé,Ngnok,Dendrohyrax dorsalis,,,Non Protégée,Intégralement Protégée,LC
ELE,Forest elephant,Eléphant,Zokou,Nzok,Loxodonta cyclotis,,,Intégralement Protégée,Intégralement Protégée,CR
ORY,Aardvark,Oryctérope,Ekoudassé,Biame,Orycteropus afer,,,Intégralement Protégée,Intégralement Protégée,LC
GOR,Gorilla,Gorille,Ndjia,Ndji,Gorilla gorilla,,,Intégralement Protégée,Intégralement Protégée,CR
CHP,Chimpanzee,Chimpanzé,Ékoutou ndjia,Woa,Pan troglodytes,,,Intégralement Protégée,Intégralement Protégée,EN
CNB,Black and white colobus,Colobe guereza (noir et blanc),Issembo,Soussoule,Colobus guereza,,,Intégralement Protégée,Non Protégée,LC
MJG,Grey-cheeked mangabey,Mangabey à joues grises,Kalou,Kar,Lophocebus albigena,,,Partiellement Protégée,Non Protégée,VU
MGA,Agile mangabey,Mangabey agile,Kakou,NA,Cercocebus agilis,,,Non Protégée,Non Protégée,LC
MAN,Mandrill,Mandrill,Essetsé,Seuk,Mandrillus sphinx,,,Intégralement Protégée,Intégralement Protégée,VU
TAL,Northern talapoin,Talapoin du nord,Izembi,Ngnatoung,Miopithecus ogouensis,Miopithecus talapoin,Other talaopin has weight in amniote db,Partiellement Protégée,Non Protégée,LC
CDB,De Brazza's monkey,Cercopithèque de Brazza,Pounga,Foûng,Cercopithecus neglectus,,,Non Protégée,Non Protégée,LC
CPO,Crowned guenon,Cercopithèque pogonias,Poundé,Essima,Cercopithecus pogonias,,,Non Protégée,Non Protégée,NT
HOC,White-nosed guenon,Hocheur,Zia,Aveume,Cercopithecus nictitans,,,Non Protégée,Non Protégée,NT
MST,Moustached monkey,Moustac,Impeka,Ossouk,Cercopithecus cephus,,,Non Protégée,Non Protégée,LC
PTT,Potto,Potto,Ikoumama,Awoune,Perodicticus potto,,,Intégralement Protégée,Intégralement Protégée,NT
PTG,Giant otter shrew,Potamogale,Houboué,Dzie,Potamogale velox,,,Non Protégée,Non Protégée,LC
ATH,Brush-tailed porcupine,Athérure africain,Ngomba,Ngome,Atherurus africanus,,,Non Protégée,Non Protégée,LC
HER,Cane rat,Herrison,Etsilingomba,Nveup,Thryonomys swinderianus,,,Non Protégée,Non Protégée,LC
RAT,Pouched rat,Rat,Pokou,Tchui et Abok et Fo,Cricetomys sp,Cricetomys emini,,Non Protégée,Non Protégée,LC
